feature,category
XP_023142913.1,appetite
XP_023142914.1,appetite
XP_023134073.1,appetite
XP_023123278.2,appetite
XP_023123279.2,appetite
XP_023120868.1,appetite
XP_023120878.1,appetite
XP_023152276.1,appetite
XP_023141017.1,appetite
XP_023129417.1,appetite
XP_023141135.2,appetite
XP_023140440.1,appetite
XP_023141134.2,appetite
XP_054873816.1,appetite
XP_023116644.2,appetite
XP_023133079.1,appetite
XP_023128881.1,appetite
XP_023122953.1,appetite
XP_023123064.1,appetite
XP_035802723.1,appetite
XP_023140823.1,appetite
XP_023140825.1,appetite
XP_054870783.1,appetite
XP_023131914.1,appetite
XP_054872031.1,appetite
XP_035802773.1,appetite
XP_035802774.1,appetite
XP_023143347.1,appetite
XP_023125136.1,appetite
XP_035803629.1,appetite
XP_023130135.1,appetite
XP_023138308.1,appetite
XP_023121936.1,appetite
XP_023136828.1,appetite
XP_023133750.1,appetite
XP_023133753.1,appetite
XP_054866298.1,appetite
XP_054866299.1,appetite
XP_023145059.1,appetite
XP_054866400.1,appetite
XP_054874899.1,appetite
XP_023153841.2,appetite
XP_035798855.2,appetite
XP_023125905.2,appetite
XP_023136552.1,appetite
XP_035802733.1,appetite
XP_023149838.1,appetite
XP_023117124.1,appetite
XP_035798320.1,appetite
XP_023152986.1,appetite
XP_023121388.2,appetite
XP_054873469.1,appetite
XP_023130750.1,appetite
XP_023122956.2,appetite
XP_023123042.2,appetite
XP_035804517.1,appetite
XP_023124734.1,appetite
XP_023144391.2,appetite
XP_054865340.1,appetite
XP_023140550.3,appetite
XP_035813260.2,appetite
XP_035813261.2,appetite
XP_023119506.1,appetite
XP_054861178.1,appetite
XP_023139855.1,appetite
XP_023141797.1,appetite
XP_023144428.2,appetite
XP_035804734.2,appetite
XP_035804735.2,appetite
XP_035808990.1,appetite
XP_023150641.1,appetite
XP_023125580.2,appetite
XP_023132306.2,appetite
XP_035800351.1,appetite
XP_023144042.1,appetite
XP_023133438.2,appetite
XP_023136471.1,appetite
XP_054866962.1,appetite
XP_023144711.1,appetite
XP_023139672.1,appetite
XP_023143476.1,appetite
XP_023143477.1,appetite
XP_023149616.2,appetite
XP_035803988.1,appetite
XP_035810202.2,appetite
XP_054869750.1,appetite
XP_023122510.2,appetite
XP_023133487.1,appetite
XP_023129742.1,appetite
XP_023129745.2,appetite
XP_023130767.3,appetite
XP_023122758.1,appetite
XP_054862107.1,appetite
XP_023119384.1,appetite
XP_023130630.1,appetite
XP_035811534.1,appetite
XP_035811535.1,appetite
XP_023117283.1,appetite
XP_023126723.1,appetite
XP_023128920.2,appetite
XP_035807066.2,digestion
XP_054864636.1,digestion
XP_023120630.1,digestion
XP_023120629.2,digestion
XP_023127528.2,digestion
XP_054872212.1,digestion
XP_023119417.1,digestion
XP_023119418.1,digestion
XP_023119383.2,digestion
XP_035801037.1,digestion
XP_023126981.1,digestion
XP_023117329.1,digestion
XP_023139959.2,digestion
XP_023120447.1,digestion
XP_023121616.2,digestion
XP_023120211.1,digestion
XP_023147064.2,digestion
XP_023147065.2,digestion
XP_023126177.2,digestion
XP_023126169.2,digestion
XP_023139622.1,digestion
XP_023139623.1,digestion
XP_023120176.2,digestion
XP_023155274.1,digestion
XP_023153413.2,digestion
XP_023154886.2,digestion
XP_054870895.1,digestion
XP_035812031.1,digestion
XP_054872624.1,digestion
XP_023153562.2,digestion
XP_023139967.1,digestion
XP_023154451.1,digestion
XP_023139396.1,digestion
XP_035810264.1,digestion
XP_023128646.2,digestion
XP_054870282.1,digestion
XP_054870283.1,digestion
XP_023128632.2,digestion
XP_023142902.1,digestion
XP_023119785.3,digestion
XP_035801244.1,digestion
XP_023139405.2,digestion
XP_023119778.1,digestion
XP_023146422.1,digestion
XP_023151226.2,digestion
XP_023143612.2,digestion
XP_023143613.2,digestion
XP_035809066.2,digestion
XP_054863301.1,digestion
XP_023132480.1,digestion
XP_023132481.1,digestion
XP_023129157.2,digestion
