gene,category
ENSDARG00000053449,appetite
ENSDARG00000035350,appetite
ENSDARG00000116735,appetite
ENSDARG00000036222,appetite
ENSDARG00000036222,appetite
ENSDARG00000004219,appetite
ENSDARG00000103176,appetite
ENSDARG00000011948,appetite
ENSDARG00000011948,appetite
ENSDARG00000071524,appetite
ENSDARG00000071524,appetite
ENSDARG00000004015,appetite
ENSDARG00000006868,appetite
ENSDARG00000006868,appetite
ENSDARG00000040799,appetite
ENSDARG00000036291,appetite
ENSDARG00000027740,appetite
ENSDARG00000042845,appetite
ENSDARG00000022525,appetite
ENSDARG00000043135,appetite
ENSDARG00000043135,appetite
ENSDARG00000043135,appetite
ENSDARG00000116186,appetite
ENSDARG00000044754,appetite
ENSDARG00000112890,appetite
ENSDARG00000056214,appetite
ENSDARG00000036299,appetite
ENSDARG00000112218,appetite
ENSDARG00000037099,appetite
ENSDARG00000026369,appetite
ENSDARG00000009020,appetite
ENSDARG00000009020,appetite
ENSDARG00000009020,appetite
ENSDARG00000101655,appetite
ENSDARG00000042717,appetite
ENSDARG00000042717,appetite
ENSDARG00000043299,appetite
ENSDARG00000040907,appetite
ENSDARG00000002912,appetite
ENSDARG00000113136,appetite
ENSDARG00000113136,appetite
ENSDARG00000002912,appetite
ENSDARG00000027657,appetite
ENSDARG00000027657,appetite
ENSDARG00000079296,appetite
ENSDARG00000045832,appetite
ENSDARG00000112535,appetite
ENSDARG00000060884,appetite
ENSDARG00000067925,appetite
ENSDARG00000101849,appetite
ENSDARG00000101849,appetite
ENSDARG00000069806,appetite
ENSDARG00000023722,appetite
ENSDARG00000002728,appetite
ENSDARG00000002172,appetite
ENSDARG00000079165,appetite
ENSDARG00000070930,appetite
ENSDARG00000109976,appetite
ENSDARG00000109614,appetite
ENSDARG00000104022,appetite
ENSDARG00000045548,appetite
ENSDARG00000045548,appetite
ENSDARG00000036272,appetite
ENSDARG00000036670,appetite
ENSDARG00000033161,appetite
ENSDARG00000022570,appetite
ENSDARG00000060330,appetite
ENSDARG00000014477,appetite
ENSDARG00000114564,appetite
ENSDARG00000112744,appetite
ENSDARG00000112744,appetite
ENSDARG00000114564,appetite
ENSDARG00000070961,appetite
ENSDARG00000070961,appetite
ENSDARG00000005522,appetite
ENSDARG00000104922,appetite
ENSDARG00000052089,appetite
ENSDARG00000003944,appetite
ENSDARG00000075282,appetite
ENSDARG00000070932,appetite
ENSDARG00000031649,appetite
ENSDARG00000054833,appetite
ENSDARG00000038574,appetite
ENSDARG00000038574,appetite
ENSDARG00000035832,appetite
ENSDARG00000093401,appetite
ENSDARG00000093401,appetite
ENSDARG00000044175,appetite
ENSDARG00000054239,appetite
ENSDARG00000105113,appetite
ENSDARG00000070142,appetite
ENSDARG00000100052,appetite
ENSDARG00000033956,appetite
ENSDARG00000116631,appetite
ENSDARG00000038116,appetite
ENSDARG00000067563,appetite
ENSDARG00000073959,appetite
ENSDARG00000091377,appetite
ENSDARG00000070810,appetite
ENSDARG00000069307,appetite
ENSDARG00000069307,appetite
ENSDARG00000069307,appetite
ENSDARG00000075829,appetite
ENSDARG00000074117,appetite
ENSDARG00000111381,appetite
ENSDARG00000116610,appetite
ENSDARG00000069089,appetite
ENSDARG00000116610,appetite
ENSDARG00000069089,appetite
ENSDARG00000091085,appetite
ENSDARG00000091085,appetite
ENSDARG00000007842,appetite
ENSDARG00000003553,appetite
ENSDARG00000113696,appetite
ENSDARG00000100593,appetite
ENSDARG00000104297,appetite
ENSDARG00000076824,appetite
ENSDARG00000059090,appetite
ENSDARG00000056859,appetite
ENSDARG00000020853,appetite
ENSDARG00000113968,appetite
NA,appetite
ENSDARG00000111892,digestion
ENSDARG00000114115,digestion
ENSDARG00000036966,digestion
ENSDARG00000000730,digestion
ENSDARG00000101239,digestion
ENSDARG00000112112,digestion
ENSDARG00000014916,digestion
ENSDARG00000099389,digestion
ENSDARG00000012194,digestion
ENSDARG00000038865,digestion
ENSDARG00000053571,digestion
