fullcategory,category,category_full,Gene.Name,Gene.Full.Name,A..ocellaris.Gene.ID,gene
appetite regulation,appetite,appetite,adipor1a,Adiponectin Receptor 1a,111579745,XP_023142913.1
appetite regulation,appetite,appetite,adipor1a,Adiponectin Receptor 1a,111579745,XP_023142914.1
appetite regulation,appetite,appetite,adipor2,Adiponectin Receptor 2,111573929,XP_023134073.1
appetite regulation,appetite,appetite,adycap1a,Adenylate Cyclase Activating Polypeptide 1a (also known as pacap1a),111566765,XP_023123278.2
appetite regulation,appetite,appetite,adycap1a,Adenylate Cyclase Activating Polypeptide 1a (also known as pacap1a),111566765,XP_023123279.2
appetite regulation,appetite,appetite,adycap1b,Adenylate Cyclase Activating Polypeptide 1b (also known as pacap1b),111565108,XP_023120868.1
appetite regulation,appetite,appetite,adycap1b,Adenylate Cyclase Activating Polypeptide 1b (also known as pacap1b),111565108,XP_023120878.1
appetite regulation,appetite,appetite,agrp,Agouti Related Neuropeptide,111586724,XP_023152276.1
appetite regulation,appetite,appetite,aplnra,Apelin Receptor a,111578435,XP_023141017.1
appetite regulation,appetite,appetite,aplnrb,Apelin Receptor b,111570732,XP_023129417.1
appetite regulation,appetite,appetite,cart1,Cocaine- and amphetamine-regulated transcript 1,111578519,XP_023141135.2
appetite regulation,appetite,appetite,cart2,Cocaine- and amphetamine-regulated transcript 2,111578079,XP_023140440.1
appetite regulation,appetite,appetite,cart3,Cocaine- and amphetamine-regulated transcript 3,111578518,XP_023141134.2
appetite regulation,appetite,appetite,cart4,Cocaine- and amphetamine-regulated transcript 4,111574752,XP_054873816.1
appetite regulation,appetite,appetite,ccka,Cholecystokinin A,111562384,XP_023116644.2
appetite regulation,appetite,appetite,cckar,Cholecystokinin A Receptor,111573242,XP_023133079.1
appetite regulation,appetite,appetite,cckb,Cholecystokinin B,111570381,XP_023128881.1
appetite regulation,appetite,appetite,cckbra,Cholecystokinin B Receptor,111566536,XP_023122953.1
appetite regulation,appetite,appetite,cckbrb,Cholecystokinin B Receptor,111566607,XP_023123064.1
appetite regulation,appetite,appetite,cckbrb,Cholecystokinin B Receptor,111566607,XP_035802723.1
appetite regulation,appetite,appetite,cnr1,Cannabinoid Receptor 1 (also known as cb1),111578346,XP_023140823.1
appetite regulation,appetite,appetite,cnr1,Cannabinoid Receptor 1 (also known as cb1),111578346,XP_023140825.1
appetite regulation,appetite,appetite,CRHa,Corticotropin Releasing Hormone a,129349927,XP_054870783.1
appetite regulation,appetite,appetite,CRHb,Corticotropin Releasing Hormone b,111572469,XP_023131914.1
appetite regulation,appetite,appetite,dbi,"Diazepam Binding Inhibitor, Acyl-CoA Binding Protein",129350208,XP_054872031.1
appetite regulation,appetite,appetite,gal,Galanin And GMAP Prepropeptide,111566684,XP_035802773.1
appetite regulation,appetite,appetite,gal,Galanin And GMAP Prepropeptide,111566684,XP_035802774.1
appetite regulation,appetite,appetite,galr1a,Galanin Receptor 1a,111580032,XP_023143347.1
appetite regulation,appetite,appetite,galr1b,Galanin Receptor 1b,111567955,XP_023125136.1
appetite regulation,appetite,appetite,galr1b,Galanin Receptor 1b,111567955,XP_035803629.1
appetite regulation,appetite,appetite,galr2a,Galanin Receptor 2a,111571268,XP_023130135.1
appetite regulation,appetite,appetite,galr2b,Galanin Receptor 2b,111576708,XP_023138308.1
appetite regulation,appetite,appetite,gcga,Glucagon a,111565873,XP_023121936.1
appetite regulation,appetite,appetite,gcgb,Glucagon b,111575748,XP_023136828.1
appetite regulation,appetite,appetite,gcgra,Glucagon receptor a,111573697,XP_023133750.1
appetite regulation,appetite,appetite,gcgra,Glucagon receptor a,111573697,XP_023133753.1
appetite regulation,appetite,appetite,gcgrb,Glucagon receptor b,111572800,XP_054866298.1
appetite regulation,appetite,appetite,gcgrb,Glucagon receptor b,111572800,XP_054866299.1
appetite regulation,appetite,appetite,gnrh2,Gonadotropin Releasing Hormone 2,111581201,XP_023145059.1
appetite regulation,appetite,appetite,gnrh2,Gonadotropin Releasing Hormone 2,111581201,XP_054866400.1
appetite regulation,appetite,appetite,gnrh3,Gonadotropin Releasing Hormone 3,129350873,XP_054874899.1
appetite regulation,appetite,appetite,gnrhr1,Gonadotropin Releasing Hormone Receptor 1,111587971,XP_023153841.2
appetite regulation,appetite,appetite,gnrhr1,Gonadotropin Releasing Hormone Receptor 1,111587971,XP_035798855.2
appetite regulation,appetite,appetite,gnrhr2,Gonadotropin Releasing Hormone Receptor 2,111568468,XP_023125905.2
appetite regulation,appetite,appetite,gnrhr4,Gonadotropin Releasing Hormone Receptor 4,111575569,XP_023136552.1
appetite regulation,appetite,appetite,ghrl,Ghrelin and Obestatin Prepropeptide,111566619,XP_035802733.1
appetite regulation,appetite,appetite,hcrt,Hypocretin Neuropeptide Precursor (also known as orexin),111584801,XP_023149838.1
appetite regulation,appetite,appetite,hcrtr2,Hypocretin Receptor 2 (also known as orexin receptor 2),111562688,XP_023117124.1
appetite regulation,appetite,appetite,ins,Insulin,111587296,XP_035798320.1
appetite regulation,appetite,appetite,ins,Insulin,111587296,XP_023152986.1
appetite regulation,appetite,appetite,insra,Insulin Receptor a,111565521,XP_023121388.2
appetite regulation,appetite,appetite,insrb,Insulin Receptor b,111569056,XP_054873469.1
appetite regulation,appetite,appetite,irs1,Insulin Receptor Substrate 1,111571694,XP_023130750.1
appetite regulation,appetite,appetite,irs2a,Insulin Receptor Substrate 2a,111566540,XP_023122956.2
appetite regulation,appetite,appetite,irs2b,Insulin Receptor Substrate 2b,111566595,XP_023123042.2
appetite regulation,appetite,appetite,kiss1,KiSS-1 Metastasis Suppressor (also known as Kisspeptin-1),118470349,XP_035804517.1
appetite regulation,appetite,appetite,kiss1ra,KISS1 Receptor a,111567693,XP_023124734.1
appetite regulation,appetite,appetite,kiss1rb,KISS1 Receptor b,111580748,XP_023144391.2
appetite regulation,appetite,appetite,lepa,Leptin a,111564897,XP_054865340.1
appetite regulation,appetite,appetite,lepb,Leptin b,111578156,XP_023140550.3
appetite regulation,appetite,appetite,lepr,Leptin Receptor,111582044,XP_035813260.2
appetite regulation,appetite,appetite,lepr,Leptin Receptor,111582044,XP_035813261.2
appetite regulation,appetite,appetite,mchr1a,Melanin Concentrating Hormone Receptor 1a,111564262,XP_023119506.1
appetite regulation,appetite,appetite,mchr1b,Melanin Concentrating Hormone Receptor 1b,111567913,XP_054861178.1
appetite regulation,appetite,appetite,mchr2,Melanin Concentrating Hormone Receptor 2,111577695,XP_023139855.1
appetite regulation,appetite,appetite,npy,Neuropeptide Y,111578985,XP_023141797.1
appetite regulation,appetite,appetite,nr5a1a,Nuclear Receptor Subfamily 5 Group A Member 1a (also known as Steroidogenic Factor 1),111580770,XP_023144428.2
appetite regulation,appetite,appetite,nmu,Neuromedin U,111569627,XP_035804734.2
appetite regulation,appetite,appetite,nmu,Neuromedin U,111569627,XP_035804735.2
appetite regulation,appetite,appetite,nmur1a,Neuromedin U receptor 1a,111575599,XP_035808990.1
appetite regulation,appetite,appetite,nmur1b,Neuromedin U receptor 1b,111585399,XP_023150641.1
appetite regulation,appetite,appetite,nmur3,Neuromedin U receptor 3,111568251,XP_023125580.2
appetite regulation,appetite,appetite,nucb1,Nucleobindin 1,111572739,XP_023132306.2
appetite regulation,appetite,appetite,nucb2a,Nucleobindin 2a (also known as Nefastin 1),111563271,XP_035800351.1
appetite regulation,appetite,appetite,nucb2b,Nucleobindin 2b (also known as Nefastin 1),111580509,XP_023144042.1
appetite regulation,appetite,appetite,oxt,Oxytocin/Neurophysin I Prepropeptide,111573480,XP_023133438.2
appetite regulation,appetite,appetite,oxtra,Oxytocin Receptor a,111575513,XP_023136471.1
appetite regulation,appetite,appetite,oxtrb,Oxytocin Receptor b,111574948,XP_054866962.1
appetite regulation,appetite,appetite,pmch,Pro-Melanin Concentrating Hormone,111580981,XP_023144711.1
appetite regulation,appetite,appetite,pomcaa,Proopiomelanocortin aa,111577563,XP_023139672.1
appetite regulation,appetite,appetite,pomcab,Proopiomelanocortin ab,111580118,XP_023143476.1
appetite regulation,appetite,appetite,pomcab,Proopiomelanocortin ab,111580118,XP_023143477.1
appetite regulation,appetite,appetite,pomcb,Proopiomelanocortin b,111584656,XP_023149616.2
appetite regulation,appetite,appetite,pyy,Peptide YY,111568430,XP_035803988.1
appetite regulation,appetite,appetite,scg2,Secretogranin II,111577296,XP_035810202.2
appetite regulation,appetite,appetite,slc6a3,Solute Carrier Family 6 Member 3 (also known as Dopamine Transporter),111566236,XP_054869750.1
appetite regulation,appetite,appetite,slc6a3,Solute Carrier Family 6 Member 3 (also known as Dopamine Transporter),111566236,XP_023122510.2
appetite regulation,appetite,appetite,spx,Spexin Hormone,111573507,XP_023133487.1
appetite regulation,appetite,appetite,sst1.1,"Somatostatin 1, tandem duplicate 1",111570956,XP_023129742.1
appetite regulation,appetite,appetite,sst1.2,"Somatostatin 1, tandem duplicate 2",111570959,XP_023129745.2
appetite regulation,appetite,appetite,sst5,Somatostatin 5,111571703,XP_023130767.3
appetite regulation,appetite,appetite,sst7,Somatostatin 7,111566409,XP_023122758.1
appetite regulation,appetite,appetite,sstr1a,Somatostatin receptor 1a,111576444,XP_054862107.1
appetite regulation,appetite,appetite,sstr1b,Somatostatin receptor 1b,111564181,XP_023119384.1
appetite regulation,appetite,appetite,sstr2a,Somatostatin receptor 2a,111571608,XP_023130630.1
appetite regulation,appetite,appetite,sstr2b,Somatostatin receptor 2b,111579434,XP_035811534.1
appetite regulation,appetite,appetite,sstr2b,Somatostatin receptor 2b,111579434,XP_035811535.1
appetite regulation,appetite,appetite,sstr3,Somatostatin receptor 3,111562790,XP_023117283.1
appetite regulation,appetite,appetite,sstr5,Somatostatin receptor 5,111569023,XP_023126723.1
appetite regulation,appetite,appetite,TRH,Thyrotropin Releasing Hormone,111570405,XP_023128920.2
digestion (bile acids),digestion,digestion,abcb11a,ATP Binding Cassette Subfamily B Member 11a/Bile Salt Export Pump (intestinal),111572824,XP_035807066.2
digestion (bile acids),digestion,digestion,abcb11b,ATP Binding Cassette Subfamily B Member 11a/Bile Salt Export Pump (liver),111564168,XP_054864636.1
digestion (bile acids),digestion,digestion,abcg5,ATP Binding Cassette Subfamily G Member 5,111564965,XP_023120630.1
digestion (bile acids),digestion,digestion,abcg8,ATP Binding Cassette Subfamily G Member 8,111564964,XP_023120629.2
digestion (bile acids),digestion,digestion,acot21,Acyl-CoA Thioesterase 21,111569566,XP_023127528.2
digestion (bile acids),digestion,digestion,acot21,Acyl-CoA Thioesterase 21,111569566,XP_054872212.1
digestion (bile acids),digestion,digestion,acox1,Acyl-CoA Oxidase 1,111564207,XP_023119417.1
digestion (bile acids),digestion,digestion,acox1,Acyl-CoA Oxidase 1,111564207,XP_023119418.1
digestion (bile acids),digestion,digestion,acox3,Acyl-CoA Oxidase 3,111564180,XP_023119383.2
digestion (bile acids),digestion,digestion,acox3,Acyl-CoA Oxidase 3,111564180,XP_035801037.1
digestion (bile acids),digestion,digestion,adoa,2-Aminoethanethiol Dioxygenase a,111569200,XP_023126981.1
digestion (bile acids),digestion,digestion,adob,2-Aminoethanethiol Dioxygenase b,111562823,XP_023117329.1
digestion (bile acids),digestion,digestion,akr1d1,Aldo-Keto Reductase Family 1 Member D1,111577765,XP_023139959.2
digestion (bile acids),digestion,digestion,amacr,Alpha-Methylacyl-CoA Racemase,111564846,XP_023120447.1
digestion (bile acids),digestion,digestion,atp8b1,ATPase Phospholipid Transporting 8B1,111565670,XP_023121616.2
digestion (bile acids),digestion,digestion,cdo1,Cysteine Dioxygenase Type 1,111564699,XP_023120211.1
digestion (bile acids),digestion,digestion,csad,Cysteine Sulfinic Acid Decarboxylase,111582562,XP_023147064.2
digestion (bile acids),digestion,digestion,csad,Cysteine Sulfinic Acid Decarboxylase,111582562,XP_023147065.2
digestion (bile acids),digestion,digestion,cyp8b1a,Cytochrome P450 Family 8 Subfamily B Member 1a,111568654,XP_023126177.2
digestion (bile acids),digestion,digestion,cyp8b1b,Cytochrome P450 Family 8 Subfamily B Member 1b,111568649,XP_023126169.2
digestion (bile acids),digestion,digestion,fmo5,Flavin Containing Dimethylaniline Monoxygenase 5,111577525,XP_023139622.1
digestion (bile acids),digestion,digestion,fmo5,Flavin Containing Dimethylaniline Monoxygenase 5,111577525,XP_023139623.1
digestion (bile acids),digestion,digestion,hsd17b4,Hydroxysteroid 17-Beta Dehydrogenase 4,111564685,XP_023120176.2
digestion (bile acids),digestion,digestion,hsd3b7,"Hydroxy-Delta-5-Steroid Dehydrogenase, 3 Beta- And Steroid Delta-Isomerase 7",111588900,XP_023155274.1
digestion (bile acids),digestion,digestion,scp2a,Sterol Carrier Protein 2,111587618,XP_023153413.2
digestion (bile acids),digestion,digestion,slc10a2,Solute Carrier Family 10 Member 2,111588641,XP_023154886.2
digestion (bile acids),digestion,digestion,slc10a2,Solute Carrier Family 10 Member 2,111588641,XP_054870895.1
digestion (bile acids),digestion,digestion,slc36a1,Solute Carrier Family 36 Member 1,111580060,XP_035812031.1
digestion (bile acids),digestion,digestion,slc36a1,Solute Carrier Family 36 Member 1,111580060,XP_054872624.1
digestion (bile acids),digestion,digestion,slc51a,Solute Carrier Family 51 Member A,111587710,XP_023153562.2
digestion (bile acids),digestion,digestion,slc6a13,Solute Carrier Family 6 Member 13,111577770,XP_023139967.1
digestion (bile acids),digestion,digestion,slc6a6a,Solute Carrier Family 6 Member 6a,111588336,XP_023154451.1
digestion (bile acids),digestion,digestion,slc6a6b,Solute Carrier Family 6 Member 6b,111577384,XP_023139396.1
digestion (bile acids),digestion,digestion,slc6a6b,Solute Carrier Family 6 Member 6b,111577384,XP_035810264.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,amy2,Amylase Alpha 2,111570233,XP_023128646.2
digestion (digestive enzyme: carbohydrase),digestion,digestion,amy2,Amylase Alpha 2,111570233,XP_054870282.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,amy2,Amylase Alpha 2,111567934,XP_054870283.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,amy2,Amylase Alpha 2,111570226,XP_023128632.2
digestion (digestive enzyme: carbohydrase),digestion,digestion,chia,Chitinase Acidic,111579739,XP_023142902.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,chio,Chitinase O,111564447,XP_023119785.3
digestion (digestive enzyme: carbohydrase),digestion,digestion,chio,Chitinase O,111564448,XP_035801244.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,chio,Chitinase O,111577389,XP_023139405.2
digestion (digestive enzyme: carbohydrase),digestion,digestion,chio,Chitinase O,111564444,XP_023119778.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,chid,Chitinase Domain Containing,111582133,XP_023146422.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,ctbs,Chitobiase,111585841,XP_023151226.2
digestion (digestive enzyme: carbohydrase),digestion,digestion,gba2,Glucosylceramidase Beta 2,111580210,XP_023143612.2
digestion (digestive enzyme: carbohydrase),digestion,digestion,gba2,Glucosylceramidase Beta 2,111580210,XP_023143613.2
digestion (digestive enzyme: carbohydrase),digestion,digestion,hexa,Hexosaminidase Subunit Alpha,111575702,XP_035809066.2
digestion (digestive enzyme: carbohydrase),digestion,digestion,hexa,Hexosaminidase Subunit Alpha,111575702,XP_054863301.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,hexb,Hexosaminidase Subunit Beta,111572860,XP_023132480.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,hexb,Hexosaminidase Subunit Beta,111572860,XP_023132481.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,hexd,Hexosaminidase Subunit Delta,111570552,XP_023129157.2
digestion (digestive enzyme: carbohydrase),digestion,digestion,lct,Lactase-Phlorizin Hydrolase,111586173,XP_054871385.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,lct,Lactase-Phlorizin Hydrolase,111579324,XP_054871386.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,lct,Lactase-Phlorizin Hydrolase,111581081,XP_035812615.2
digestion (digestive enzyme: carbohydrase),digestion,digestion,lyz,Lysozyme,111564430,XP_023119752.1
digestion (digestive enzyme: carbohydrase),digestion,digestion,si,Sucrase-Isomaltase,111579782,XP_023142974.2
